"","avg_points","std_dev","MOE"
"Liverpool",83.1966666666667,1.20685494181145,0.431867494507587
"Manchester City",77.456,1.02998359545022,0.368574896071061
"Tottenham",74.7593333333333,1.25512997907301,0.449142494730992
"Arsenal",69.7893333333333,0.820626057615027,0.293657263314426
"Bournemouth",66.07,1.30362624218384,0.466496659607856
"Fulham",66.0246666666667,1.30199510919505,0.465912966164119
"Chelsea",63.4393333333333,1.0132567272919,0.362589263173336
"Aston Villa",63.0933333333333,1.25650125439605,0.449633199303286
"Nott'ham Forest",62.0266666666667,1.05827880210675,0.378700205735031
"Newcastle Utd",57.5653333333333,1.38112331426104,0.494228630692484
"Manchester Utd",55.2686666666667,1.28954077186371,0.461456238787286
"Brentford",48.146,1.00230286564629,0.358669474124807
"Brighton",46.7646666666667,1.02287874136685,0.366032456689556
"Crystal Palace",46.1846666666667,1.26308525754048,0.451989254569999
"West Ham",43.356,0.828249504303693,0.296385278676408
"Everton",40.2853333333333,1.19498877020646,0.427621239532857
"Wolves",30.7153333333333,0.966496457468341,0.345856315516105
"Leicester City",29.7493333333333,1.01372285314503,0.362756064167674
"Southampton",28.0866666666667,0.942371671802634,0.337223371837436
"Ipswich Town",21.0846666666667,0.780674921675682,0.279360932924495
